id,slug,name,city,phone,license_number,website,address,platform_live,has_real_photo,missing_ages,missing_fees,missing_photo,age_min_months,age_max_months,infant_monthly,toddler_monthly,preschool_monthly,part_time_monthly,photo_url,source
mb-101065,down-to-earth-children-s-centre-101065,Down to Earth Children's Centre,Winnipeg,(204) 488-1787,MB-101065,,300 Carpathia Road,0,1,1,1,0,,,,,,,,
mb-1016,epiphany-children-s-centre-inc-1016,Epiphany Children's Centre Inc.,Winnipeg,(204) 261-7682,MB-1016,,196  Dalhousie Drive,0,1,1,1,0,,,,,,,,
mb-1009,fort-garry-child-care-centre-co-op-inc-1009,Fort Garry Child Care Centre Co-op Inc.,Winnipeg,(204) 453-7600,MB-1009,,1555 Pembina Highway,0,1,1,1,0,,,,,,,,
mb-1017,fort-rouge-co-op-day-nursery-inc-1017,Fort Rouge Co-op Day Nursery Inc.,Winnipeg,(204) 452-8969,MB-1017,,513 Stradbrook Avenue,0,1,1,1,0,,,,,,,,
mb-1039,freight-house-early-learning-and-care-inc-infant-1039,Freight House Early Learning and Care Inc.Infant and IRCOM Site,Winnipeg,(204) 772-4107,MB-1039,,470  Pacific Avenue,0,1,1,1,0,,,,,,,,
mb-100131,inspired-by-wonder-inc-school-site-100131,Inspired by Wonder Inc. - School site,Winnipeg,(204) 586-7950,MB-100131,,550 Robertson Street,0,1,1,1,0,,,,,,,,
mb-101665,inspired-by-wonder-inc-sscy-site-101665,Inspired by Wonder Inc. - SSCY site,Winnipeg,(204) 258-6800,MB-101665,,1155  Notre Dame Avenue,0,1,1,1,0,,,,,,,,
mb-101384,kids-amp-company-fort-st-101384,Kids &amp; Company Fort St.,Winnipeg,(204) 504-4289,MB-101384,,158 Fort Street,0,1,1,1,0,,,,,,,,
mb-1027,kings-park-day-care-centre-inc-1027,Kings Park Day Care Centre Inc.,Winnipeg,(204) 275-8688,MB-1027,,230  Dalhousie Drive,0,1,1,1,0,,,,,,,,
mb-1028,knox-day-nursery-1028,Knox Day Nursery,Winnipeg,(204) 943-1795,MB-1028,,400 Edmonton Street,0,1,1,1,0,,,,,,,,
mb-3005,lakewood-children-s-centre-inc-3005,Lakewood Children's Centre Inc.,Winnipeg,(204) 832-5802,MB-3005,,55  Kay Crescent,0,1,1,1,0,,,,,,,,
mb-1214,lindenwoods-child-care-centre-inc-1214,Lindenwoods Child Care Centre Inc.,Winnipeg,(204) 489-7056,MB-1214,,1  Princemere Road,0,1,1,1,0,,,,,,,,
mb-100903,makoonsag-intergenerational-children-s-centre-100903,Makoonsag Intergenerational Children's Centre,Winnipeg,(204) 415-5328,MB-100903,,527 Selkirk Avenue,0,1,1,1,0,,,,,,,,
mb-1057,nor-west-early-learning-and-child-care-centre-1057,Nor'West Early Learning and Child Care Centre,Winnipeg,(204) 940-2165,MB-1057,,105 Lucas Avenue,0,1,1,1,0,,,,,,,,
mb-100048,paradise-montessori-preschool-inc-100048,Paradise Montessori Preschool Inc.,Winnipeg,(204) 832-0866,MB-100048,,1341  Kenaston Boulevard,0,1,1,1,0,,,,,,,,
mb-100170,prairie-children-s-centres-pembina-100170,Prairie Children's Centres Pembina,Winnipeg,(204) 478-8123,MB-100170,,285 Pembina Highway,0,1,1,1,0,,,,,,,,
mb-100801,r-b-russell-infant-centre-manidoo-gi-minni-gonaa-100801,R.B.Russell Infant Centre/Manidoo Gi Minni Gonaan (Lord Selkirk Park),Winnipeg,(204) 504-6422,MB-100801,,102-269  Dufferin Avenue,0,1,1,1,0,,,,,,,,
mb-1040,r-r-c-early-childhood-centre-inc-1040,R.R.C. Early Childhood Centre Inc.,Winnipeg,(204) 632-2244,MB-1040,,A101-2055  Notre Dame Avenue Avenue,0,1,1,1,0,,,,,,,,
mb-1050,seven-oaks-child-day-care-centre-inc-1050,Seven Oaks Child Day Care Centre Inc.,Winnipeg,(204) 632-3691,MB-1050,,2300 McPhillips Street,0,1,1,1,0,,,,,,,,
mb-100808,sky-s-the-limit-montessori-school-100808,Sky's The Limit Montessori School,Winnipeg,(204) 661-4441,MB-100808,,3202 Birds Hill Road,0,1,1,1,0,,,,,,,,
mb-100351,splash-child-enrichment-centre-inc-mcgregor-loca-100351,Splash Child Enrichment Centre Inc (McGregor Location),Winnipeg,(204) 582-3299,MB-100351,,363 McGregor Street,0,1,1,1,0,,,,,,,,
mb-1206,st-anne-s-day-nursery-inc-1206,St. Anne's Day Nursery Inc.,Winnipeg,(204) 253-9422,MB-1206,,425  St. Anne's Road,0,1,1,1,0,,,,,,,,
mb-100042,st-maurice-school-age-centre-100042,St. Maurice School Age Centre,Winnipeg,(204) 475-4045,MB-100042,,1639 Pembina Highway,0,1,1,1,0,,,,,,,,
mb-1054,sugar-n-spice-kiddie-haven-inc-1054,Sugar N' Spice Kiddie Haven Inc.,Winnipeg,(204) 339-4992,MB-1054,,123 Red River Boulevard W,0,1,1,1,0,,,,,,,,
mb-1074,u-w-s-a-day-care-centre-1074,U.W.S.A. Day Care Centre,Winnipeg,(204) 786-9898,MB-1074,,548 Furby Place,0,1,1,1,0,,,,,,,,
mb-1061,univillage-preschool-and-infant-centre-inc-1061,Univillage Preschool and Infant Centre Inc.,Winnipeg,(204) 953-2240,MB-1061,,100-99 Dalhousie Drive,0,1,1,1,0,,,,,,,,
mb-1147,wild-strawberry-children-s-centre-1147,Wild Strawberry Children's Centre,Winnipeg,(204) 783-1397,MB-1147,,659  Alverstone Street,0,1,1,1,0,,,,,,,,
mb-2024,winnipeg-montessori-school-inc-2024,Winnipeg Montessori School Inc.,Winnipeg,(204) 452-3315,MB-2024,,1525 Willson Place,0,1,1,1,0,,,,,,,,
mb-1052,ymca-ywca-of-winnipeg-south-child-care-centre-1052,YMCA-YWCA of Winnipeg South Child Care Centre,Winnipeg,(2042) 355-0045,MB-1052,,5  Fermor Avenue,0,1,1,1,0,,,,,,,,
mb-101862,andrews-early-learning-centre-101862,Andrews Early Learning Centre,Winnipeg,(204) 334-7075,MB-101862,,801 Andrews Street,0,0,1,1,1,,,,,,,,
mb-1036,anne-ross-day-nursery-1036,Anne Ross Day Nursery,Winnipeg,(204) 589-9407,MB-1036,,511 King Street,0,0,1,1,1,,,,,,,,
mb-101827,arthur-day-fun-club-101827,Arthur Day Fun Club,Winnipeg,(204) 981-6112,MB-101827,,43  Whitehall Boulevard,0,0,1,1,1,,,,,,,,
mb-1249,assiniboine-castle-daycare-co-op-inc-1249,Assiniboine Castle Daycare Co-op Inc.,Winnipeg,(204) 896-0833,MB-1249,,500  Shaftesbury Boulevard,0,0,1,1,1,,,,,,,,
mb-9508,assiniboine-castle-daycare-coop-inc-school-age-p-9508,Assiniboine Castle Daycare Coop Inc. School Age Program,Winnipeg,(204) 896-0833,MB-9508,,Rm 16-515  Laidlaw Boulevard,0,0,1,1,1,,,,,,,,
mb-103026,assiniboine-children-s-centre-inc-linwood-103026,Assiniboine Children's Centre Inc @Linwood,Winnipeg,(204) 889-9858,MB-103026,,266 Linwood Street,0,0,1,1,1,,,,,,,,
mb-3002,assiniboine-children-s-centre-inc-3002,Assiniboine Children's Centre Inc.,Winnipeg,(204) 889-3308,MB-3002,,175  Winston Road,0,0,1,1,1,,,,,,,,
mb-102576,assiniboine-children-s-centre-inc-parkside-site-102576,Assiniboine Children's Centre Inc. Parkside Site,Winnipeg,(204) 889-3308,MB-102576,,135 Parkside Drive,0,0,1,1,1,,,,,,,,
mb-100249,bairdmore-before-and-after-school-program-100249,Bairdmore Before and After School Program,Winnipeg,(204) 295-7040,MB-100249,,700  Bairdmore Boulevard,0,0,1,1,1,,,,,,,,
mb-102137,beautiful-savior-lutheran-child-care-st-mary-s-102137,Beautiful Savior Lutheran Child Care (St. Mary's),Winnipeg,(204) 256-3799,MB-102137,,1541-B  St Mary's Road,0,0,1,1,1,,,,,,,,
mb-2169,beautiful-savior-nursery-school-st-mary-s-2169,Beautiful Savior Nursery School (St.Mary's),Winnipeg,(204) 256-3799,MB-2169,,1541  St. Mary's Road,0,0,1,1,1,,,,,,,,
mb-100529,belmont-learning-centre-100529,Belmont Learning Centre,Winnipeg,(204) 334-7075,MB-100529,,525 Belmont Street,0,0,1,1,1,,,,,,,,
mb-100532,bright-future-child-care-center-inc-100532,Bright Future Child Care Center Inc.,Winnipeg,(204) 667-2930,MB-100532,,898 Henderson Highway,0,0,1,1,1,,,,,,,,
mb-3088,brock-corydon-day-care-inc-3088,Brock Corydon Day Care Inc.,Winnipeg,(204) 489-4558,MB-3088,,1510  Corydon Avenue,0,0,1,1,1,,,,,,,,
mb-1002,brooklands-day-care-centre-inc-1002,Brooklands Day Care Centre Inc.,Winnipeg,(204) 632-1367,MB-1002,,1950 Pacific Avenue W,0,0,1,1,1,,,,,,,,
mb-102891,bumble-bee-early-learning-centre-inc-102891,Bumble Bee Early Learning Centre Inc.,Winnipeg,(204) 221-0024,MB-102891,,1770 King Edward  Street,0,0,1,1,1,,,,,,,,
mb-1264,bumper-crop-early-learning-centre-inc-1264,Bumper Crop Early Learning Centre Inc.,Winnipeg,(204) 983-1252,MB-1264,,2090 Jefferson Ave,0,0,1,1,1,,,,,,,,
mb-1233,busy-bee-day-care-centre-1233,Busy Bee Day Care Centre,Winnipeg,(204) 775-6506,MB-1233,,646-648 McGee Street,0,0,1,1,1,,,,,,,,
mb-102363,busy-bee-day-care-centre-inc-school-age-program-102363,Busy Bee Day Care Centre Inc. School Age Program,Winnipeg,(204) 775-6506,MB-102363,,640 McGee Street,0,0,1,1,1,,,,,,,,
mb-1199,c-a-p-t-grosvenor-inc-1199,C.A.P.T. (Grosvenor) Inc.,Winnipeg,(204) 925-6152,MB-1199,,1045  Grosvenor Avenue,0,0,1,1,1,,,,,,,,
mb-1003,c-a-p-t-inc-1003,C.A.P.T. Inc.,Winnipeg,(204) 925-6150,MB-1003,,245  Queenston Street,0,0,1,1,1,,,,,,,,
mb-100636,cairns-parc-la-salle-100636,Cairns Parc La Salle,St Norbert Winnipeg,(204) 275-1521,MB-100636,,190 Houde Drive,0,0,1,1,1,,,,,,,,
mb-7834,can-you-imagine-preschool-care-and-education-cen-7834,Can You Imagine Preschool Care and Education Centre Inc.,Winnipeg,(204) 668-4822,MB-7834,,55  Stadacona Street,0,0,1,1,1,,,,,,,,
mb-101214,can-you-imagine-school-age-care-and-education-ce-101214,Can You Imagine School Age Care and Education Centre Inc. - River Elm,Winnipeg,(204) 795-1767,MB-101214,,500   Riverton Avenue,0,0,1,1,1,,,,,,,,
mb-100820,can-you-imagine-school-age-care-amp-education-ce-100820,Can You Imagine School-Age Care &amp; Education Centre,Winnipeg,(204) 795-5298,MB-100820,,96  Carmen Avenue,0,0,1,1,1,,,,,,,,
mb-102749,can-you-imagine-weston-102749,Can You Imagine- Weston,Winnpeg,(204) 668-4822,MB-102749,,1410 Logan Ave.,0,0,1,1,1,,,,,,,,
mb-7893,canterbury-park-before-and-after-school-program-7893,Canterbury Park Before and After School Program,Winnipeg,(204) 777-0386,MB-7893,,605  Wayota Street,0,0,1,1,1,,,,,,,,
mb-3026,canterbury-park-day-care-inc-3026,Canterbury Park Day Care Inc.,Winnipeg,(204) 224-4377,MB-3026,,875 McMeans Avenue E,0,0,1,1,1,,,,,,,,
mb-1046,care-and-share-children-s-centre-inc-1046,Care and Share Children's Centre Inc.,Winnipeg,(204) 837-5358,MB-1046,,22 Strauss Drive,0,0,1,1,1,,,,,,,,
mb-1005,care-a-lot-nursery-inc-1005,Care-A-Lot Nursery Inc.,Winnipeg,(204) 669-0436,MB-1005,,829 Watt Street,0,0,1,1,1,,,,,,,,
mb-3084,central-park-child-care-inc-3084,Central Park Child Care Inc.,Winnipeg,(204) 942-4454,MB-3084,,101-461 Cumberland Avenue,0,0,1,1,1,,,,,,,,
mb-103160,centre-d-apprentissage-sage-creek-103160,Centre D'apprentissage Sage Creek,Winnipeg,(204) 255-5484,MB-103160,,45 Witham Road,0,0,1,1,1,,,,,,,,
mb-9829,centre-soleil-inc-9829,Centre Soleil Inc.,Winnipeg,(204) 889-4097,MB-9829,,81 Quail Ridge Chemin,0,0,1,1,1,,,,,,,,
mb-101123,chabad-torah-tots-101123,Chabad Torah Tots,Winnipeg,(204) 339-8737,MB-101123,,1845 Mathers Avenue,0,0,1,1,1,,,,,,,,
mb-1284,champlain-community-child-care-centre-inc-1284,Champlain Community Child Care Centre Inc.,Winnipeg,(204) 586-8883,MB-1284,,119-275 Church Avenue,0,0,1,1,1,,,,,,,,
mb-9318,chancellor-before-and-after-school-program-9318,Chancellor Before and After School Program,Winnipeg,(204) 275-3623,MB-9318,,1520 Chancellor Drive,0,0,1,1,1,,,,,,,,
mb-3057,chapman-day-care-inc-3057,Chapman Day Care Inc.,Winnipeg,(204) 832-6280,MB-3057,,450  Laxdal Avenue,0,0,1,1,1,,,,,,,,
mb-1023,children-at-the-centre-1023,Children at the Centre,Winnipeg,(204) 787-4396,MB-1023,,60 Pearl Street,0,0,1,1,1,,,,,,,,
mb-2026,children-s-house-2026,Children's House,Winnipeg,(204) 956-1622,MB-2026,,150 Pacific Avenue,0,0,1,1,1,,,,,,,,
mb-101062,concordia-child-care-centre-101062,Concordia Child Care Centre,Winnipeg,(204) 661-7117,MB-101062,,CP 108-1000  Molson Avenue,0,0,1,1,1,,,,,,,,
mb-1010,crestview-park-day-nursery-incorporated-1010,Crestview Park Day Nursery Incorporated,Winnipeg,(204) 837-6022,MB-1010,,37 Voyageur Avenue,0,0,1,1,1,,,,,,,,
mb-3003,crestview-school-children-s-centre-inc-3003,Crestview School Children's Centre Inc.,Winnipeg,(204) 888-0772,MB-3003,,333 Morgan Crescent,0,0,1,1,1,,,,,,,,
mb-1172,cuddles-infant-centre-1172,Cuddles Infant Centre,Winnipeg,(204) 775-3889,MB-1172,,141  Arlington Street,0,0,1,1,1,,,,,,,,
mb-3109,dalhousie-day-care-inc-3109,Dalhousie Day Care Inc.,Winnipeg,(204) 269-3510,MB-3109,,262  Dalhousie Drive,0,0,1,1,1,,,,,,,,
mb-1148,dante-day-nursery-inc-1148,Dante Day Nursery Inc.,Winnipeg,(204) 474-0403,MB-1148,,358  Cockburn Street N,0,0,1,1,1,,,,,,,,
mb-100900,david-livingstone-school-age-program-100900,David Livingstone School Age Program,Winnipeg,(204) 996-1096,MB-100900,,270 Flora avenue,0,0,1,1,1,,,,,,,,
mb-100689,dawn-and-dusk-before-and-after-school-program-in-100689,Dawn and Dusk Before and After School Program Inc,Winnipeg,(204) 654-1594,MB-100689,,1020  Louelda Street,0,0,1,1,1,,,,,,,,
mb-1011,day-nursery-centre-inc-crossways-1011,Day Nursery Centre Inc. - Crossways,Winnipeg,(204) 775-6513,MB-1011,,103-222 Furby Street,0,0,1,1,1,,,,,,,,
mb-101488,day-nursery-centre-inc-kid-gloves-101488,Day Nursery Centre Inc. – Kid Gloves,Winnipeg,(204) 786-6128,MB-101488,,555 Logan Avenue,0,0,1,1,1,,,,,,,,
mb-9320,downtown-ym-ywca-before-and-after-school-program-9320,Downtown YM-YWCA Before and After School Program,Winnipeg,(204) 953-7316,MB-9320,,301 Vaughan Street,0,0,1,1,1,,,,,,,,
mb-1144,downtown-ym-ywca-creative-play-1144,Downtown YM-YWCA Creative Play,Winnipeg,(204) 953-7316,MB-1144,,301  Vaughan Street,0,0,1,1,1,,,,,,,,
mb-100414,eagle-wing-early-education-centre-100414,Eagle Wing Early Education Centre,Winnipeg,(204) 947-9411,MB-100414,,99 Euclid Avenue,0,0,1,1,1,,,,,,,,
mb-3012,earl-grey-children-s-centre-inc-3012,Earl Grey Children's Centre Inc.,Winnipeg,(204) 453-7387,MB-3012,,340  Cockburn Street N,0,0,1,1,1,,,,,,,,
mb-100630,east-transcona-before-and-after-program-inc-100630,East Transcona Before and After Program Inc.,Winnipeg,(204) 221-1639,MB-100630,,500  Redonda Street,0,0,1,1,1,,,,,,,,
mb-102175,eastern-star-preschool-102175,Eastern Star Preschool,Winnipeg,(204) 831-6132,MB-102175,,525 Cathcart Street,0,0,1,1,1,,,,,,,,
mb-9529,ecole-crane-before-and-after-school-program-9529,Ecole Crane Before and After School Program,Winnipeg,(204) 453-7972,MB-9529,,888 Crane Avenue,0,0,1,1,1,,,,,,,,
mb-2131,ecole-guyot-pre-kindergarten-inc-2131,Ecole Guyot Pre-Kindergarten Inc.,Winnipeg,(204) 257-9712,MB-2131,,400  Willowlake Drive,0,0,1,1,1,,,,,,,,
mb-9295,ecole-varennes-before-and-after-school-program-9295,Ecole Varennes Before and After School Program,Winnipeg,(204) 235-5004,MB-9295,,22  Varennes Avenue,0,0,1,1,1,,,,,,,,
mb-1008,elmwood-day-nursery-inc-1008,Elmwood Day Nursery Inc.,Winnipeg,(204) 668-7944,MB-1008,,75 Brazier Avenue,0,0,1,1,1,,,,,,,,
mb-3126,emu-school-age-centre-inc-3126,EMU School Age Centre Inc.,Winnipeg,(204) 222-9517,MB-3126,,25 Regina Place,0,0,1,1,1,,,,,,,,
mb-1038,explore-and-discover-early-learning-centre-inc-1038,Explore and Discover Early Learning Centre Inc.,Winnipeg,(204) 488-1284,MB-1038,,251  Edgeland Boulevard,0,0,1,1,1,,,,,,,,
mb-3119,explore-and-discover-early-learning-centre-inc-s-3119,Explore and Discover Early Learning Centre Inc. - School Age,Winnipeg,(204) 488-1284,MB-3119,,2300 Corydon Avenue,0,0,1,1,1,,,,,,,,
mb-1053,explorer-s-children-s-centre-inc-1053,Explorer's Children's Centre Inc.,Winnipeg,(204) 774-9264,MB-1053,,1466 William Avenue W,0,0,1,1,1,,,,,,,,
mb-1045,fairlane-children-s-centre-incorporated-1045,Fairlane Children's Centre Incorporated,Winnipeg,(204) 889-0855,MB-1045,,369 Fairlane Avenue,0,0,1,1,1,,,,,,,,
mb-1157,faith-children-s-centre-1157,Faith Children's Centre,Winnipeg,(204) 253-2587,MB-1157,,1311 Dakota Street,0,0,1,1,1,,,,,,,,
mb-101395,festival-early-learning-and-child-care-centre-mo-101395,Festival Early Learning and Child Care Centre - Morgan Site,Winnipeg,(204) 801-4307,MB-101395,,305 Morgan Crescent,0,0,1,1,1,,,,,,,,
mb-102555,festival-early-learning-and-child-care-centre-in-102555,Festival Early Learning and Child Care Centre Inc. - Buchanan site,Winnipeg,(204) 889-5572,MB-102555,,815  Buchanan Boulevard,0,0,1,1,1,,,,,,,,
mb-101255,fort-garry-e-v-a-school-age-program-101255,Fort Garry E.V.A. School Age Program,Winnipeg,(204) 453-7600,MB-101255,,810  Waterford Avenue,0,0,1,1,1,,,,,,,,
mb-101072,fort-garry-h-g-i-school-age-program-101072,Fort Garry H.G.I. School Age Program,Winnipeg,(204) 479-0945,MB-101072,,960  Scurfield Boulevard,0,0,1,1,1,,,,,,,,
mb-100379,fort-garry-oakenwald-school-age-program-100379,Fort Garry Oakenwald School Age Program,Winnipeg,(204) 452-9933,MB-100379,,666  Oakenwald Avenue,0,0,1,1,1,,,,,,,,
mb-102722,fort-rouge-child-care-102722,Fort Rouge Child Care,Winnipeg,(204) 453-3088,MB-102722,,290  Lilac Street,0,0,1,1,1,,,,,,,,
mb-3004,fort-rouge-child-care-program-board-inc-3004,Fort Rouge Child Care Program Board Inc.,Winnipeg,(204) 453-3088,MB-3004,,525  Wardlaw Avenue,0,0,1,1,1,,,,,,,,
mb-102240,fort-rouge-co-op-day-nursery-gladstone-school-si-102240,Fort Rouge Co-op Day Nursery - Gladstone School Site,Winnipeg,(204) 452-8969,MB-102240,,500 Gertrude Street,0,0,1,1,1,,,,,,,,
mb-102422,freight-house-early-learning-amp-care-inc-logan--102422,Freight House Early Learning &amp; Care Inc. Logan Site,Winnipeg,(204) 772-4107,MB-102422,,560 Logan  Avenue,0,0,1,1,1,,,,,,,,
mb-100996,freight-house-early-learning-and-care-inc-duffer-100996,Freight House Early Learning and Care Inc. Dufferin Site,Winnipeg,(204) 772-4107,MB-100996,,545 Alexander Avenue,0,0,1,1,1,,,,,,,,
mb-1018,freight-house-early-learning-and-care-inc-ross-s-1018,Freight House Early Learning and Care Inc. Ross Site,Winnipeg,(204) 772-4107,MB-1018,,505 Ross Avenue,0,0,1,1,1,,,,,,,,
mb-100238,frontenac-before-and-after-school-program-100238,Frontenac Before and After School Program,Winnipeg,(204) 255-5078,MB-100238,,866  Autumnwood Drive,0,0,1,1,1,,,,,,,,
mb-3015,garden-grove-child-care-program-inc-3015,Garden Grove Child Care Program Inc.,Winnipeg,(204) 632-9987,MB-3015,,2340 Burrows Avenue,0,0,1,1,1,,,,,,,,
mb-102087,garden-grove-child-care-program-inc-preschool-si-102087,Garden Grove Child Care Program Inc. Preschool Site,Winnipeg,(204) 697-0050,MB-102087,,2370 Burrows Avenue,0,0,1,1,1,,,,,,,,
mb-101931,garderie-les-petits-genies-corporation-101931,Garderie Les Petits Genies Corporation,Winnipeg,(204) 691-0419,MB-101931,,831  Beaverhill Boulevard,0,0,1,1,1,,,,,,,,
mb-2005,general-vanier-nursery-school-inc-2005,General Vanier Nursery School Inc.,Winnipeg,(204) 253-2559,MB-2005,,18  Lomond Boulevard,0,0,1,1,1,,,,,,,,
mb-100842,governor-semple-children-s-place-100842,Governor Semple Children's Place,Winnipeg,(204) 334-7075,MB-100842,,150  Hartford Avenue,0,0,1,1,1,,,,,,,,
mb-2219,greendell-tiny-tots-nursery-school-2219,Greendell Tiny Tots Nursery School,Winnipeg,(431) 788-6883,MB-2219,,75 Woodlawn Avenue,0,0,1,1,1,,,,,,,,
mb-102704,guiding-minds-montessori-school-102704,Guiding Minds Montessori School,Winnipeg,(204) 294-2999,MB-102704,,4945 Portage Avenue,0,0,1,1,1,,,,,,,,
mb-9089,happiness-is-inc-9089,Happiness Is Inc.,Winnipeg,(204) 797-7029,MB-9089,,363 Enfield Crescent,0,0,1,1,1,,,,,,,,
